id,titre,prix_mad,ville,quartier,surface_m2,nb_chambres,nb_salles_de_bain,prix_par_m2,scraped_at
3473,Appartement à vendre 78 m² à Deroua,460000.0,Deroua,Toute La Ville,78.0,2,1,5897.44,2026-05-07 14:31:06.363020
3474,Appartement 157m² – SANS VIS-À-VIS – CASABLANCA,2200000.0,Casablanca,Quartier Des Hôpitaux,157.0,2,2,14012.74,2026-05-07 14:31:06.363146
3475,"Studio, local commercial, droit à la terrasse et aide au logement",620000.0,Marrakech,Azli,83.0,1,1,7469.88,2026-05-07 14:31:06.363272
3476,"Résidence Prestige 2, Quartier Al-Azhar",860000.0,Casablanca,Sidi Bernoussi,101.0,3,2,8514.85,2026-05-07 14:31:06.363396
3477,Appartement à vendre 134 m² à Casablanca,3000000.0,Casablanca,Racine,154.0,3,3,19480.52,2026-05-07 14:31:06.363518
3478,APPARTEMENT A VENDRE HAUT FOUNTY,1400000.0,Agadir,Haut-Founty,97.0,3,2,14432.99,2026-05-07 14:31:06.363642
3479,Appartement 3 chambres 80 mètres ascenseur syndic 5 minutes Malabata,750000.0,Tanger,Tanja Balia,80.0,3,1,9375.0,2026-05-07 14:31:06.363772
3480,À VENDRE APPARTEMENT LUMINEUX,420000.0,Marrakech,Hay Charaf,60.0,1,1,7000.0,2026-05-07 14:31:06.363906
3481,Studios neufs à vendre,1250000.0,Casablanca,Palmier,53.0,1,1,23584.91,2026-05-07 14:31:06.364032
3482,Appartement à vendre 145 m² à la marina casablanca,3900000.0,Tanger,Autre Secteur,155.0,2,3,25161.29,2026-05-07 14:31:06.364156
3483,Appartement à vendre 176 m² à Tanger,3500000.0,Tanger,Administratif,176.0,4,2,19886.36,2026-05-07 14:31:06.364289
3484,Appartement à vendre TANGER EL BALIA 80m²,1200000.0,Tanger,Autre Secteur,80.0,2,1,15000.0,2026-05-07 14:31:06.364412
3485,Appartement à vendre 172 m² à Casablanca,2100000.0,Casablanca,2 Mars,172.0,3,3,12209.3,2026-05-07 14:31:06.364541
3486,À vendre appartement 3 CH avec terrasse de 44m2,2350000.0,Casablanca,Ferme Bretone,144.0,3,3,16319.44,2026-05-07 14:31:06.364690
3487,Appartement à vendre à Martil près de Ahrik,580000.0,Martil,Toute La Ville,62.0,2,1,9354.84,2026-05-07 14:31:06.364820
3488,Appartement à vendre 100 m² à Casablanca,1300000.0,Casablanca,Quartier Des Hôpitaux,100.0,3,2,13000.0,2026-05-07 14:31:06.364951
3489,Charmant appartement à vendre - Résidence OUBAHA,1150000.0,El Mansouria,Toute La Ville,100.0,3,2,11500.0,2026-05-07 14:31:06.365081
3490,Appartement 80 m2 deux face lotissement alliance,640000.0,Kénitra,Alliance,80.0,2,2,8000.0,2026-05-07 14:31:06.365207
3491,Très belle appartement proximité hay riad,1160000.0,Temara,Riad Oulad Mtaa,85.0,3,2,13647.06,2026-05-07 14:31:06.365334
3492,Appartement à vendre 95 m² à Marrakech,1350000.0,Marrakech,Route De Safi,95.0,2,1,14210.53,2026-05-07 14:31:06.365458
3493,Superbe appartement familial au cœur Racine,4216000.0,Casablanca,Racine,284.0,3,3,14845.07,2026-05-07 14:31:06.365583
3494,Grand Appartement Plein Centre de Kénitra 154 m²,1360000.0,Kénitra,Centre,154.0,3,2,8831.17,2026-05-07 14:31:06.365707
3495,Appartement à vendre sur Hay Riad Prestigia,3200000.0,Rabat,Hay Riad,117.0,3,2,27350.43,2026-05-07 14:31:06.365839
3496,Appartement Haut standing à vendre / piscine,1900000.0,Marrakech,Ain Mezouar,100.0,3,2,19000.0,2026-05-07 14:31:06.365969
3497,Bel appartement,395000.0,Saidia,Toute La Ville,76.0,3,2,5197.37,2026-05-07 14:31:06.366131
3498,Très Très belle Appartement à Bouznika plage,1450000.0,Bouznika,Plage Oued Cherrat,95.0,2,2,15263.16,2026-05-07 14:31:06.366266
3499,Appartement neuf à Sala El Jadida,1099800.0,Salé,Sala El Jadida,94.0,2,2,11700.0,2026-05-07 14:31:06.366396
3500,Appartement à vendre 186 m² à Tanger,7200000.0,Tanger,Malabata,186.0,4,2,38709.68,2026-05-07 14:31:06.366520
3501,"Appartement de propriétaire à vendre Tétouan, quartier Ttfa7iyoun, 3ème étage",170000.0,Tétouan,Autre Secteur,82.0,2,1,2073.17,2026-05-07 14:31:06.366647
3502,"Studio neuf à vendre – Bourgogne, Casablanca",1270000.0,Casablanca,Bourgogne,66.0,1,1,19242.42,2026-05-07 14:31:06.366786
3503,Appartement à vendre 110 m² à Bouznika,1670000.0,Bouznika,Autre Secteur,118.0,3,2,14152.54,2026-05-07 14:31:06.366916
3504,Appartement à vendre Ain Suna,540000.0,Marrakech,M'Hamid,64.0,2,2,8437.5,2026-05-07 14:31:06.367049
3505,Appartement à vendre 150 m² à Casablanca,3400000.0,Casablanca,Oasis,163.0,3,2,20858.9,2026-05-07 14:31:06.367175
3506,Appartement résidentiel titré à vendre à Tanger,800000.0,Tanger,Autre Secteur,95.0,3,1,8421.05,2026-05-07 14:31:06.367302
3507,Des appartements à vendre,420000.0,Agadir,Autre Secteur,58.0,2,2,7241.38,2026-05-07 14:31:06.367468
3508,Studio 42m Neuf Maarif Proche BD Biranzaran,980000.0,Casablanca,Maarif,42.0,1,1,23333.33,2026-05-07 14:31:06.367601
3509,Vente appartement Fal El Hanaa,630000.0,Casablanca,Ain Sebaa,59.0,2,1,10677.97,2026-05-07 14:31:06.367727
3510,appartement résidence fermée,930000.0,Casablanca,Oulfa,70.0,2,2,13285.71,2026-05-07 14:31:06.367860
3511,Appartement à vendre 128 m² à Bouskoura,1300000.0,Bouskoura,Victoria,140.0,3,2,9285.71,2026-05-07 14:31:06.367986
3512,Appartement à vendre à Marina Golf Asilah,950000.0,Asilah,Toute La Ville,150.0,2,1,6333.33,2026-05-07 14:31:06.368109
3513,Spacieux appartement à vendre avec terrasse,1900000.0,Marrakech,Route D'Ourika,99.0,2,1,19191.92,2026-05-07 14:31:06.368237
3514,Appartement neuf à vendre Ain Sebaa,1070000.0,Casablanca,Ain Sebaa,81.0,2,2,13209.88,2026-05-07 14:31:06.368362
3515,Appartement à vendre,650000.0,Agadir,Tilila,67.0,2,2,9701.49,2026-05-07 14:31:06.368507
3516,Appartement à vendre 52 m² à Marrakech,1200000.0,Marrakech,Guéliz,52.0,1,1,23076.92,2026-05-07 14:31:06.368630
3517,Un appartement,1100000.0,Meknès,Hamria,200.0,3,2,5500.0,2026-05-07 14:31:06.368762
3518,Appartement en vente 61m² à Gueliz Piscine Rooftop,1500000.0,Marrakech,Guéliz,61.0,1,1,24590.16,2026-05-07 14:31:06.368897
3519,Appartement 3 chambres à 2min de Casanearshore,780000.0,Casablanca,Sidi Maarouf,70.0,3,1,11142.86,2026-05-07 14:31:06.369028
3520,Appartement à vendre 80 m² à Kénitra,490000.0,Kénitra,Seyad,80.0,2,1,6125.0,2026-05-07 14:31:06.369154
3521,Appartements modernes à vendre à Marrakech,740000.0,Marrakech,Azli,53.0,3,2,13962.26,2026-05-07 14:31:06.369276
3522,Appartements à vendre,1400000.0,Agadir,Haut-Founty,70.0,2,2,20000.0,2026-05-07 14:31:06.369561
3523,Appartement à vendre 133 m² sur 2 mars,1700000.0,Casablanca,2 Mars,133.0,3,2,12781.95,2026-05-07 14:31:06.369691
3524,Appartement à vendre 165 m² La perle D'Agadir,2272500.0,Agadir,Talborjt,165.0,4,1,13772.73,2026-05-07 14:31:06.369831
3525,appartements à vendre,1600000.0,Agadir,Hay Mohammadi,128.0,3,2,12500.0,2026-05-07 14:31:06.369956
3526,Appartement 120 m² en vente à Narjis Fès,560000.0,Fès,Narjis,120.0,3,2,4666.67,2026-05-07 14:31:06.370086
3527,Appartement à vendre 3 chambres,960000.0,Kénitra,Val Fleury,112.0,3,2,8571.43,2026-05-07 14:31:06.370211
3528,Appartements à vendre 64 m² à Ben Guerir,300000.0,Ben Guerir,Toute La Ville,64.0,3,2,4687.5,2026-05-07 14:31:06.370339
3529,App kech 95 m² 1er étage 1 balcon,800000.0,Marrakech,M'Hamid,95.0,3,1,8421.05,2026-05-07 14:31:06.370463
3530,Appartements à vendre,1220000.0,Agadir,Hay Mohammadi,107.0,3,2,11401.87,2026-05-07 14:31:06.370588
3531,Appartement à vendre 120 m² à Tanger,2500000.0,Tanger,Autre Secteur,165.0,2,2,15151.52,2026-05-07 14:31:06.370718
3532,Appartements à vendre,870000.0,Agadir,Hay Mohammadi,66.0,2,2,13181.82,2026-05-07 14:31:06.370856
3533,"Appartement à El Jadida, quartier El Milha, sur la rue",550000.0,El Jadida,Mouilha,88.0,2,1,6250.0,2026-05-07 14:31:06.370986
3534,Appartements à vendre,1157000.0,Agadir,Tilila,89.0,2,1,13000.0,2026-05-07 14:31:06.371153
3535,"Duplex avec garage privé Sidi Maarouf, Essaada",1650000.0,Casablanca,Sidi Maarouf,159.0,2,3,10377.36,2026-05-07 14:31:06.371281
3536,Appartement à vendre 70 m² à Kénitra,360000.0,Kénitra,Bir Rami,70.0,2,2,5142.86,2026-05-07 14:31:06.371407
3537,Appartement à vendre 89 m² à Tanger malabata,2136000.0,Tanger,Malabata,89.0,2,1,24000.0,2026-05-07 14:31:06.371533
3538,Appartement à vendre 170 m² à CFC,4200000.0,Casablanca,Casablanca Finance City,170.0,3,3,24705.88,2026-05-07 14:31:06.371661
3539,"Bel appartement à vendre Bourgogne, My Youssef",1280000.0,Casablanca,Bourgogne,93.0,2,2,13763.44,2026-05-07 14:31:06.371795
3540,Appartement triplex à vendre 128m² à HM Casablanca,850000.0,Casablanca,Hay Mohammadi,128.0,4,2,6640.62,2026-05-07 14:31:06.371953
3541,Des apt neuf a vendre 85 m2 tanger,1147500.0,Tanger,Marjane,96.0,2,2,11953.12,2026-05-07 14:31:06.372089
3542,Appt Dar Bouazza 53 m2 jamais habité - calme,600000.0,Dar Bouazza,Toute La Ville,53.0,2,1,11320.75,2026-05-07 14:31:06.372214
3543,Appartement à vendre à Salé 111m² 4ème étage,1215000.0,Salé,Tabriquet,111.0,2,2,10945.95,2026-05-07 14:31:06.372372
3544,Appartement à vendre 118 m² à Salé,1420000.0,Salé,Sala El Jadida,118.0,3,2,12033.9,2026-05-07 14:31:06.372500
3545,"Appartements à vendre à Meknès, premier étage",500000.0,Meknès,Autre Secteur,100.0,3,2,5000.0,2026-05-07 14:31:06.372654
3546,Appartements à vendre,3000000.0,Agadir,Haut-Founty,187.0,3,3,16042.78,2026-05-07 14:31:06.372799
3547,Appartement 2 chambres corniche investisseurs airbnb,1100000.0,Tanger,Malabata,75.0,2,1,14666.67,2026-05-07 14:31:06.372934
3548,Appartements à vendre,980000.0,Agadir,Hay Mohammadi,75.0,2,2,13066.67,2026-05-07 14:31:06.373067
3549,Appartements à vendre,2800000.0,Agadir,Haut-Founty,150.0,3,3,18666.67,2026-05-07 14:31:06.373197
3550,Appartement vue sur mer à vendre à Asilah,1800000.0,Aquouass Briech,Toute La Ville,133.0,3,2,13533.83,2026-05-07 14:31:06.373326
3551,Bel appart RDC SUR centre ville,650000.0,Mohammedia,Centre Ville,80.0,2,1,8125.0,2026-05-07 14:31:06.373450
3552,Appartement à vendre à Cabo Negro,1400000.0,Cabo Negro,Toute La Ville,75.0,1,1,18666.67,2026-05-07 14:31:06.373574
3553,Appartement Valencia Beach Mansouria,840000.0,Mohammedia,Corniche,89.0,2,1,9438.2,2026-05-07 14:31:06.373715
3554,Appartement à vendre 121 m² à Casablanca,2000000.0,Casablanca,Californie,121.0,3,2,16528.93,2026-05-07 14:31:06.373846
3555,3 Chambres à vendre 143 m² à Californie,2255000.0,Casablanca,Californie,143.0,3,2,15769.23,2026-05-07 14:31:06.373975
3556,Appartement titré à vendre à Tanger Chtouka,750000.0,Tanger,Aouama Gharbia,100.0,2,2,7500.0,2026-05-07 14:31:06.374099
3557,Appartement 87 m2 av Alla El Fassi,680000.0,Marrakech,Allal El Fassi,87.0,2,2,7816.09,2026-05-07 14:31:06.374222
3558,Appartement à vendre 94 m² à Temara Wifak,1250000.0,Temara,Oued Eddahab,94.0,3,1,13297.87,2026-05-07 14:31:06.374345
3559,Studio vue piscine à vendre 51 m² à Marrakech,1150000.0,Marrakech,Hivernage,51.0,1,1,22549.02,2026-05-07 14:31:06.374472
3560,"Appartement à vendre Saada, près de Marjane, route de Casa, en sous-sol",440000.0,Marrakech,Es Saada,60.0,2,1,7333.33,2026-05-07 14:31:06.374601
3561,Appartement à vendre 97 m² à Marrakech,2330000.0,Marrakech,Guéliz,97.0,2,1,24020.62,2026-05-07 14:31:06.374727
3562,Appartement à vendre 82 m² à Kénitra,390000.0,Kénitra,Bir Rami,82.0,2,2,4756.1,2026-05-07 14:31:06.374869
3563,Penthouse avec piscine à vendre 320 m² à Tanger,7680000.0,Tanger,Malabata,320.0,2,1,24000.0,2026-05-07 14:31:06.374995
3564,Appartement 47 m2 av Allal El Fassi,600000.0,Marrakech,Allal El Fassi,47.0,2,1,12765.96,2026-05-07 14:31:06.375120
3565,Appartement 150 m² en vente près Clinique Razi,800000.0,Fès,Autre Secteur,150.0,3,1,5333.33,2026-05-07 14:31:06.375245
3566,Appartement à vendre 43 m² à bourgogne,1300000.0,Casablanca,Bourgogne,43.0,1,1,30232.56,2026-05-07 14:31:06.375378
3567,Appartement chouka à Kénitra,610000.0,Kénitra,Ouled Oujih,80.0,2,2,7625.0,2026-05-07 14:31:06.375506
3568,Appartement 76 m² en vente à Route Ain chkef,450000.0,Fès,Route Ain Chkaf,76.0,1,1,5921.05,2026-05-07 14:31:06.375631
3569,Appartement à vendre 92 m² Espace dubai à Inzegan,1012000.0,Inzegan,Toute La Ville,92.0,3,1,11000.0,2026-05-07 14:31:06.375759
3570,Appartement à vendre 75 m² à Kénitra,390000.0,Kénitra,Bir Rami,75.0,2,2,5200.0,2026-05-07 14:31:06.375890
3571,Appartement à vendre 90 m² à Kénitra,630000.0,Kénitra,Alliance,90.0,2,2,7000.0,2026-05-07 14:31:06.376017
3572,Appartement à vendre 90 m² à lotissement alliance,640000.0,Kénitra,Alliance,90.0,2,1,7111.11,2026-05-07 14:31:06.376145
3573,"Appartement meublé de 76 m², ascenseur, syndic, sur la rue",798000.0,Tanger,Tanja Balia,76.0,2,1,10500.0,2026-05-07 14:31:06.376274
3574,Appartement à vendre 80 m² à Kénitra,550000.0,Kénitra,Seyad,80.0,2,2,6875.0,2026-05-07 14:31:06.376422
3575,2 Appartements moyen standing à vendre – Benguerir,520000.0,Ben Guerir,Toute La Ville,92.0,2,2,5652.17,2026-05-07 14:31:06.376549
3576,Appartement 56 m2 avec piscine à Guéliz,896000.0,Marrakech,Guéliz,56.0,2,1,16000.0,2026-05-07 14:31:06.376677
3577,Appartement 87 m² en vente à Ayn Amir à Fès,560000.0,Fès,Ain Amiyer,87.0,2,1,6436.78,2026-05-07 14:31:06.376817
3578,Appartement de 50m² à Vendre à Tanger,380000.0,Tanger,Aouama Gharbia,50.0,2,1,7600.0,2026-05-07 14:31:06.376976
3579,STUDIO 67 M² RÉNOVÉ À BOURGOGNE OUEST,1100000.0,Casablanca,Bourgogne,67.0,1,1,16417.91,2026-05-07 14:31:06.377107
3580,Appartement à vendre Résidence Miramar \ Corniche,1850000.0,Mohammedia,Corniche,117.0,3,2,15811.97,2026-05-07 14:31:06.377236
3581,Appartement à vendre 116 m² à Martil,750000.0,Martil,Toute La Ville,116.0,2,2,6465.52,2026-05-07 14:31:06.377363
3582,Appartement à vendre 120 m² à Mosquée houda,1170000.0,Temara,Hoda,120.0,3,2,9750.0,2026-05-07 14:31:06.377500
3583,Appartement à vendre 144 m² à 2 Mars Casablanca,1650000.0,Casablanca,2 Mars,144.0,2,2,11458.33,2026-05-07 14:31:06.377628
3584,Appartement à vendre centre ville,890000.0,Kénitra,Centre,111.0,2,2,8018.02,2026-05-07 14:31:06.377758
3585,Duplex à vendre avec piscine proche Guéliz,1050000.0,Marrakech,Mabrouka,95.0,3,2,11052.63,2026-05-07 14:31:06.377893
3586,"Appartement à vendre devant la nouvelle gare routière, sans intermédiaire",495000.0,Tanger,Autre Secteur,60.0,2,1,8250.0,2026-05-07 14:31:06.378035
3587,Appartement socoma 85 m² quartier pièces,750000.0,Marrakech,Autre Secteur,85.0,3,1,8823.53,2026-05-07 14:31:06.378182
3588,Appartements de rêve à vendre avec soutien au logement de 70m à 120m,480000.0,Had Soualem,Toute La Ville,120.0,4,2,4000.0,2026-05-07 14:31:06.378317
3589,Appartement à vendre,1600000.0,Agadir,Hay Mohammadi,115.0,3,2,13913.04,2026-05-07 14:31:06.378449
3590,Appartement 95m2 vendables -Palmier,1750000.0,Casablanca,Palmier,95.0,2,2,18421.05,2026-05-07 14:31:06.378579
3591,Annonce de vente d'appartement,360000.0,Lahraouyine,Toute La Ville,84.0,3,1,4285.71,2026-05-07 14:31:06.378705
3592,Studio 50 m2 avec piscine a gueliz,9200000.0,Marrakech,Guéliz,50.0,1,1,184000.0,2026-05-07 14:31:06.378839
3593,Appartement à vendre 114 m² à Casablanca,1350000.0,Casablanca,2 Mars,114.0,2,2,11842.11,2026-05-07 14:31:06.378974
3594,appartement vue piscine 2 chambres à CASABAY,1250000.0,Sidi Rahal,Toute La Ville,87.0,2,2,14367.82,2026-05-07 14:31:06.379104
3595,"Appartement 140 m² à Sidi Bouzid, bien rénové",480000.0,El Jadida,Autre Secteur,140.0,2,2,3428.57,2026-05-07 14:31:06.379227
3596,Superbe appartement de 90 m² entièrement rénové,1260000.0,Casablanca,Nassim,90.0,2,1,14000.0,2026-05-07 14:31:06.379365
3597,Appartement à vendre 60 m² à Meknès,240000.0,Meknès,Hay Salam,60.0,2,1,4000.0,2026-05-07 14:31:06.379490
3598,185668-Vente Appt à Casablanca Mers Sultan de 176,2950000.0,Casablanca,Mers Sultan,176.0,3,2,16761.36,2026-05-07 14:31:06.379616
3599,175015-Vente Appt à Bouskoura Bouskoura de 80 m²,900000.0,Bouskoura,,80.0,2,2,11250.0,2026-05-07 14:31:06.379743
3718,Tanger Balia,370000.0,Tanger,Tanja Balia,54.0,2,1,6851.85,2026-05-07 14:31:06.397421
3600,Appartement de 1 à 3 chambres à Dar Bouazza,700000.0,Dar Bouazza,Toute La Ville,47.0,1,1,14893.62,2026-05-07 14:31:06.379881
3601,Appartements économiques à vendre à Marrakech,400000.0,Marrakech,M'Hamid,56.0,2,1,7142.86,2026-05-07 14:31:06.380007
3602,Appartement à vendre 61 m² à Marrakech,1550000.0,Marrakech,Route De Tahanaoute,61.0,1,1,25409.84,2026-05-07 14:31:06.380134
3603,Appartement à vendre 81 m² à Hay Hassani Casa,1110000.0,Casablanca,Hay Hassani,81.0,2,2,13703.7,2026-05-07 14:31:06.380280
3604,Appart 78m A Mazola Proche CFC,980000.0,Casablanca,Oulfa,78.0,2,2,12564.1,2026-05-07 14:31:06.380406
3605,Appartement de standing à vendre à Marrakech,1500000.0,Marrakech,Semlalia,89.0,2,2,16853.93,2026-05-07 14:31:06.380532
3606,Appartement luxueux à vendre à dar bouaazza,1300000.0,Dar Bouazza,Toute La Ville,96.0,2,2,13541.67,2026-05-07 14:31:06.380654
3607,👉 Appartement 64m² à vendre à Azouzia 2 chambres et salon,400000.0,Marrakech,Azzouzia,64.0,2,1,6250.0,2026-05-07 14:31:06.380789
3608,Appartement à vendre 50 m² à Tanger,380000.0,Tanger,Mghogha,50.0,2,1,7600.0,2026-05-07 14:31:06.380916
3609,Vente Appartement à proximité de la gare routière,380000.0,Tanger,Autre Secteur,50.0,2,1,7600.0,2026-05-07 14:31:06.381043
3610,Appartement à vendre avec piscine,1500000.0,Marrakech,Route De Casablanca,73.0,2,1,20547.95,2026-05-07 14:31:06.381173
3611,Appartement 2 façades à vendre,1030000.0,Kénitra,Mimosas,115.0,3,2,8956.52,2026-05-07 14:31:06.381307
3612,"Appartement 112 mètres, 3 façades avec soutien",830000.0,Marrakech,M'Hamid,112.0,3,1,7410.71,2026-05-07 14:31:06.381466
3613,Grand appartement 160m2 (proche nouvel aéroport),1490000.0,Tétouan,Autre Secteur,160.0,3,2,9312.5,2026-05-07 14:31:06.381607
3614,Nouveaux appartement à vendre de 50 m² à Tanger,380000.0,Tanger,Aouama Gharbia,50.0,2,1,7600.0,2026-05-07 14:31:06.381740
3615,Appartement 86m² à vendre – Al Azdihar Marrakech,1300000.0,Marrakech,Hay Izdihar,86.0,2,2,15116.28,2026-05-07 14:31:06.381874
3616,Appartement sur plan – bon investissement,1450000.0,Casablanca,Route D'El Jadida,57.0,2,1,25438.6,2026-05-07 14:31:06.382007
3617,Appartement à vendre 126 m² Tafraoute à Marrakech,2583000.0,Marrakech,Hivernage,126.0,3,1,20500.0,2026-05-07 14:31:06.382132
3618,Appartement r plus 2 melk cheikh,650000.0,El Jadida,Autre Secteur,120.0,3,2,5416.67,2026-05-07 14:31:06.382257
3619,Appartement meublé résidence sécurisée,550000.0,El Jadida,Autre Secteur,81.0,2,1,6790.12,2026-05-07 14:31:06.382390
3620,Appartement à vendre,459000.0,Tanger,La Nouvelle Ville Ibn Battouta,65.0,3,2,7061.54,2026-05-07 14:31:06.382520
3621,Superbe studio au Quartier du Parc,830000.0,Mohammedia,Quartier Du Parc,65.0,1,1,12769.23,2026-05-07 14:31:06.382645
3622,Rez-de-Jardin Vue Partielle sur Mer – PRIX RÉVISÉ,2700000.0,Sidi Bouknadel,Toute La Ville,211.0,4,2,12796.21,2026-05-07 14:31:06.382771
3623,Appartement à vendre sur Hay Riad,4300000.0,Rabat,Hay Riad,210.0,3,3,20476.19,2026-05-07 14:31:06.382930
3624,Appartement 117m² à Les Princesses,1430000.0,Casablanca,Les Princesses,117.0,2,2,12222.22,2026-05-07 14:31:06.383061
3625,Appartement 67 m² à BOUSKOURA prix imbattable,690000.0,Casablanca,Autre Secteur,67.0,2,1,10298.51,2026-05-07 14:31:06.383187
3626,Appartement à vendre 99 m² à Victoria,980000.0,Bouskoura,Victoria,99.0,2,2,9898.99,2026-05-07 14:31:06.383321
3627,Rare Opportunité 478 m² en Vente au Cœur de Tanger,7400000.0,Tanger,Mozart,478.0,5,4,15481.17,2026-05-07 14:31:06.383446
3628,Appartements à vendre Al Firdaws,260000.0,Ain Aouda,Toute La Ville,56.0,2,1,4642.86,2026-05-07 14:31:06.383572
3629,Appartement Neuf 3 Chambres avec Grande Terrasse,1800000.0,Marrakech,Route De Casablanca,131.0,3,2,13740.46,2026-05-07 14:31:06.383740
3630,Appart 96 m2 Mandarona à côté Bd Al qods,950000.0,Casablanca,Aïn Chock,95.0,2,1,10000.0,2026-05-07 14:31:06.383881
3631,😍 Appartement rénové avec belle vue,390000.0,Marrakech,Azzouzia,59.0,2,1,6610.17,2026-05-07 14:31:06.384007
3632,Appartements neufs à vendre,950000.0,Mohammedia,Riad 2,91.0,2,1,10439.56,2026-05-07 14:31:06.384191
3633,Appartement à vendre 253 m² à Casablanca,4350000.0,Casablanca,Gauthier,267.0,4,4,16292.13,2026-05-07 14:31:06.384323
3634,Appartement à vendre,750000.0,Mohammedia,Autre Secteur,80.0,2,1,9375.0,2026-05-07 14:31:06.384448
3635,Studios & Appartements à partir de 65 Millions,650000.0,Casablanca,Ain Sebaa,127.0,2,2,5118.11,2026-05-07 14:31:06.384585
3636,À vendre – Appartement haut standing à Bir Rami,790000.0,Kénitra,Bir Rami,85.0,2,2,9294.12,2026-05-07 14:31:06.384714
3637,Appartement de luxe à vendre en centre-ville haute,890000.0,Kénitra,La Ville Haute,104.0,2,2,8557.69,2026-05-07 14:31:06.384848
3638,Appartement à vendre 97 m² à Casablanca,1300000.0,Casablanca,Val Fleuri,97.0,1,1,13402.06,2026-05-07 14:31:06.384976
3639,Appartement à vendre 100 m² à Fès,520000.0,Fès,Tghat,100.0,3,2,5200.0,2026-05-07 14:31:06.385100
3640,Appartements 118m Haut Standing Maarif Ex,1750000.0,Casablanca,Maarif,118.0,3,2,14830.51,2026-05-07 14:31:06.385224
3641,Projet neuf – Studios Haut Standing à 5 min de CFC,770000.0,Casablanca,Casablanca Finance City,50.0,1,1,15400.0,2026-05-07 14:31:06.385352
3642,Superbe Appartement de 90m² - 880000dhs,880000.0,Casablanca,Roches Noires,90.0,2,2,9777.78,2026-05-07 14:31:06.385484
3643,Appartement et garage,730000.0,Fès,Route Ain Chkaf,112.0,3,1,6517.86,2026-05-07 14:31:06.385613
3644,Appartement avec terrasse😍 à vendre à Hay Azdehar,860000.0,Marrakech,Hay Izdihar,69.0,2,1,12463.77,2026-05-07 14:31:06.385743
3645,Élégant Appartement Avec Vaste Espace Extérieur,2100000.0,Marrakech,Route De Fès,140.0,2,2,15000.0,2026-05-07 14:31:06.385885
3646,Appartement vue sur mer à vendre à Asilah,2000000.0,Asilah,Toute La Ville,150.0,3,3,13333.33,2026-05-07 14:31:06.386011
3647,Quartier Hôtel ibis,1750000.0,Tanger,Malabata,100.0,2,2,17500.0,2026-05-07 14:31:06.386166
3648,Studio neuf 41 m2 à vendre à Roche Noires,640000.0,Casablanca,Roches Noires,41.0,1,1,15609.76,2026-05-07 14:31:06.386296
3649,Bel Appartement Moderne Aux Palmeraies À Vendre,1500000.0,Marrakech,Palmeraie,85.0,2,2,17647.06,2026-05-07 14:31:06.386424
3650,Appartement 74 m² à ALMAZ,830000.0,Casablanca,Almaz,74.0,2,1,11216.22,2026-05-07 14:31:06.386555
3651,Appart 68m Maarif Ex Près Carrefour Yacoub,950000.0,Casablanca,Maârif Extension,68.0,2,2,13970.59,2026-05-07 14:31:06.386680
3652,Appartement 3 Chambres Marjane Ahlan Déclaration Totale,1480000.0,Tanger,Marjane,133.0,3,2,11127.82,2026-05-07 14:31:06.386815
3653,Appartement meublé neuf sur corniche Martil,1500000.0,Martil,Toute La Ville,150.0,3,1,10000.0,2026-05-07 14:31:06.386943
3654,DES Appartements de 109 m² à Victoria - BOUSKOURA,855000.0,Bouskoura,Victoria,115.0,3,2,7434.78,2026-05-07 14:31:06.387131
3655,Appartement à Mohammedia au quartier du Parc,1450000.0,Mohammedia,Quartier Du Parc,125.0,3,2,11600.0,2026-05-07 14:31:06.387321
3656,Vente Urgente Appartement Économique AinChock Lamkansa4,430000.0,Lamkansa,Toute La Ville,60.0,2,2,7166.67,2026-05-07 14:31:06.387491
3657,Appartement à vendre 110 m² à Temara,1050000.0,Temara,Ain Atig,124.0,3,2,8467.74,2026-05-07 14:31:06.387662
3658,Appartement à vendre 90 m² Limoune à Ouled Teïma,585000.0,Ouled Teïma,Toute La Ville,90.0,3,1,6500.0,2026-05-07 14:31:06.387833
3659,Appartement Ensoleillé 123m² au Quartier Maarif,1500000.0,Casablanca,Maârif Extension,123.0,3,2,12195.12,2026-05-07 14:31:06.388335
3660,"Appartement à vendre 58 m², Oulfa Hay Hassani",286000.0,Casablanca,Oulfa,59.0,2,1,4847.46,2026-05-07 14:31:06.388601
3661,Appt 3 ch salon à vendre à Val Fleuri,1800000.0,Casablanca,Val Fleuri,126.0,3,2,14285.71,2026-05-07 14:31:06.388733
3662,Appartement idéal avec un bon prix,360000.0,Settat,Hay Al Kamal,102.0,2,1,3529.41,2026-05-07 14:31:06.388861
3663,RACINE Superbe Appartement Rénové à Vendre 265m²,4850000.0,Casablanca,Racine,265.0,4,3,18301.89,2026-05-07 14:31:06.389023
3664,TRIANGLE D’OR BEL APPT A VENDRE AVEC TERRASSE,3750000.0,Casablanca,Triangle D'Or,267.0,3,2,14044.94,2026-05-07 14:31:06.389193
3665,Appartement à vendre 74 m² à Sidi maarouf,760000.0,Casablanca,Sidi Maarouf,74.0,2,2,10270.27,2026-05-07 14:31:06.389371
3666,Appartement meublé piscine Haut standing,1200000.0,Marrakech,Mabrouka,70.0,2,2,17142.86,2026-05-07 14:31:06.389506
